tam,tiempo,agentes,votos
1,3.061e-06,1,0
1,2.991e-06,2,2
1,3.443e-06,3,4
1,5.403e-06,4,8
1,1.5585e-05,5,12
1,2.1558e-05,6,18
1,3.2902e-05,7,24
3,3.5092e-05,8,32
0,6.0835e-05,9,40
0,3.5234e-05,10,50
1,3.5335e-05,11,60
2,0.000119167,12,72
0,8.0491e-05,13,84
0,9.8307e-05,14,98
0,9.4914e-05,15,112
0,0.000303401,16,128
0,0.000105293,17,144
0,0.000116648,18,162
1,0.000163825,19,180
0,0.000189632,20,200
0,0.000160918,21,220
0,0.000147951,22,242
0,0.000162256,23,264
0,0.000229086,24,288
0,0.000291959,25,312
0,0.000189232,26,338
0,0.000244125,27,364
0,0.000179111,28,392
0,0.00025809,29,420
0,0.000159844,30,450
0,0.000332256,31,480
0,0.000290748,32,512
0,0.000298419,33,544
0,0.000238092,34,578
0,0.000416596,35,612
0,0.000244468,36,648
0,0.000264492,37,684
0,0.000466293,38,722
0,0.000277499,39,760
0,0.000297817,40,800
0,0.000499557,41,840
0,0.000387523,42,882
0,0.000407984,43,924
0,0.000364951,44,968
0,0.000374064,45,1012
0,0.000434314,46,1058
0,0.000661736,47,1104
0,0.000514326,48,1152
0,0.000478322,49,1200
0,0.000457647,50,1250
