tam,tiempo,agentes,votos
1,3.163e-06,1,0
1,2.965e-06,2,2
1,3.427e-06,3,4
1,5.406e-06,4,8
1,1.5684e-05,5,12
1,2.1569e-05,6,18
1,3.3131e-05,7,24
3,3.5454e-05,8,32
0,6.1209e-05,9,40
0,3.5224e-05,10,50
1,3.5029e-05,11,60
2,0.000118545,12,72
0,0.00011711,13,84
0,9.8333e-05,14,98
0,9.4458e-05,15,112
0,0.000279352,16,128
0,9.2148e-05,17,144
0,0.000115949,18,162
1,0.000164449,19,180
0,0.000190258,20,200
0,0.000161017,21,220
0,0.000147982,22,242
0,0.000161782,23,264
0,0.00022807,24,288
0,0.000292467,25,312
0,0.000189395,26,338
0,0.00024353,27,364
0,0.000178926,28,392
0,0.000257245,29,420
0,0.000160875,30,450
0,0.000332597,31,480
0,0.000291386,32,512
0,0.000335777,33,544
0,0.000239324,34,578
0,0.000384073,35,612
0,0.00024537,36,648
0,0.000265073,37,684
0,0.000468121,38,722
0,0.00027822,39,760
0,0.000299529,40,800
0,0.000500874,41,840
0,0.000385688,42,882
0,0.00040861,43,924
0,0.000397814,44,968
0,0.000371113,45,1012
0,0.000403796,46,1058
0,0.000661194,47,1104
0,0.00051382,48,1152
0,0.000477704,49,1200
0,0.000457682,50,1250
