tam,tiempo,agentes,votos
1,3.138e-06,1,0
1,3.298e-06,2,2
2,5.795e-06,3,4
1,1.0406e-05,4,8
1,2.0419e-05,5,12
2,2.5585e-05,6,18
0,1.5102e-05,7,24
0,3.9872e-05,8,32
0,3.4581e-05,9,40
1,9.2654e-05,10,50
1,4.7427e-05,11,60
1,4.8579e-05,12,72
1,7.7742e-05,13,84
0,0.000113055,14,98
0,8.3092e-05,15,112
0,0.000100742,16,128
0,9.7778e-05,17,144
0,0.000110072,18,162
0,0.000147527,19,180
0,0.000139018,20,200
1,0.000206559,21,220
0,9.0331e-05,22,242
0,0.000193888,23,264
0,0.000170399,24,288
0,0.000176275,25,312
0,0.000389847,26,338
0,0.000239686,27,364
0,0.000387609,28,392
0,0.000235334,29,420
0,0.000220637,30,450
0,0.00029734,31,480
0,0.000342191,32,512
0,0.000262037,33,544
0,0.000319946,34,578
0,0.000357666,35,612
0,0.000384718,36,648
0,0.00039369,37,684
0,0.000299342,38,722
0,0.000435392,39,760
0,0.000349288,40,800
0,0.000342858,41,840
0,0.000392382,42,882
0,0.000412874,43,924
0,0.000502426,44,968
0,0.00047006,45,1012
0,0.000512108,46,1058
0,0.000751649,47,1104
0,0.000706103,48,1152
0,0.000459769,49,1200
0,0.000916589,50,1250
