tam,tiempo,agentes,votos
1,4.943e-06,1,0
1,3.625e-06,2,2
2,8.428e-06,3,4
1,9.992e-06,4,8
2,1.248e-05,5,12
0,3.0746e-05,6,18
1,1.5807e-05,7,24
1,2.5125e-05,8,32
1,4.67e-05,9,40
1,3.4437e-05,10,50
0,0.000122941,11,60
0,7.8817e-05,12,72
0,5.1309e-05,13,84
0,0.000119936,14,98
0,6.3293e-05,15,112
0,0.000155379,16,128
0,6.0225e-05,17,144
0,0.000119476,18,162
0,0.000181191,19,180
0,0.000141873,20,200
0,0.00018854,21,220
0,0.000179777,22,242
0,0.000191594,23,264
0,0.000134584,24,288
0,0.000218099,25,312
0,0.000116926,26,338
0,0.000222212,27,364
0,0.000269283,28,392
0,0.000153809,29,420
0,0.000253436,30,450
0,0.000249398,31,480
0,0.000227393,32,512
0,0.000198744,33,544
0,0.000279033,34,578
0,0.000385858,35,612
0,0.000269004,36,648
0,0.000275908,37,684
0,0.000428797,38,722
0,0.000451786,39,760
0,0.000480497,40,800
0,0.000331229,41,840
0,0.000429695,42,882
0,0.00036303,43,924
0,0.000482158,44,968
0,0.000418332,45,1012
0,0.00040813,46,1058
0,0.000524719,47,1104
0,0.000436771,48,1152
0,0.000647992,49,1200
0,0.000552183,50,1250
