tam,tiempo,agentes,votos
1,5.228e-06,1,0
1,3.599e-06,2,2
2,7.115e-06,3,4
1,7.064e-06,4,8
2,1.6763e-05,5,12
1,1.2185e-05,6,18
1,2.491e-05,7,24
0,2.3723e-05,8,32
0,4.4672e-05,9,40
0,5.3449e-05,10,50
0,4.3047e-05,11,60
1,7.3989e-05,12,72
0,0.00015382,13,84
0,6.4805e-05,14,98
1,0.000192218,15,112
0,7.5286e-05,16,128
0,8.5633e-05,17,144
0,0.000126355,18,162
0,0.000239421,19,180
0,9.1071e-05,20,200
0,9.4552e-05,21,220
0,0.000179194,22,242
0,0.000164791,23,264
0,0.000205015,24,288
0,0.000155152,25,312
0,0.000398198,26,338
0,0.000171054,27,364
0,0.000218145,28,392
0,0.000177122,29,420
0,0.000227133,30,450
0,0.000351042,31,480
0,0.000239073,32,512
0,0.000288906,33,544
0,0.000254018,34,578
0,0.000282856,35,612
0,0.000296002,36,648
0,0.000281492,37,684
0,0.000339544,38,722
0,0.000310904,39,760
0,0.000317946,40,800
0,0.00031057,41,840
0,0.000568835,42,882
0,0.000473931,43,924
0,0.000393397,44,968
0,0.000385451,45,1012
0,0.000408585,46,1058
0,0.000541462,47,1104
0,0.000649303,48,1152
0,0.000558697,49,1200
0,0.000538996,50,1250
