tam,tiempo,agentes,votos
1,3.69e-06,1,0
2,4.299e-06,2,2
0,3.712e-06,3,4
2,9.502e-06,4,8
0,1.5179e-05,5,12
2,3.1217e-05,6,18
0,2.0711e-05,7,24
0,2.4114e-05,8,32
1,3.574e-05,9,40
0,4.2007e-05,10,50
0,8.9523e-05,11,60
0,0.000110486,12,72
1,6.184e-05,13,84
0,0.000100214,14,98
0,8.2068e-05,15,112
0,6.7004e-05,16,128
0,0.000176283,17,144
0,0.000132452,18,162
0,0.000231316,19,180
0,0.000174955,20,200
0,0.000167335,21,220
0,0.000295366,22,242
0,0.000169984,23,264
0,0.000183446,24,288
0,0.000243887,25,312
0,0.000267117,26,338
0,0.000181698,27,364
0,0.000167565,28,392
0,0.000321927,29,420
0,0.000215636,30,450
0,0.000357254,31,480
0,0.00024755,32,512
0,0.00021679,33,544
0,0.000243563,34,578
0,0.000381499,35,612
0,0.000474489,36,648
0,0.000553683,37,684
0,0.000315032,38,722
0,0.000338215,39,760
0,0.000452441,40,800
0,0.000329043,41,840
0,0.000430251,42,882
0,0.000375815,43,924
0,0.000451174,44,968
0,0.00040759,45,1012
0,0.000405484,46,1058
0,0.000595292,47,1104
0,0.000447238,48,1152
0,0.000482217,49,1200
0,0.0006155,50,1250
