tam,tiempo,agentes,votos
1,5.29e-06,1,0
2,4.39e-06,2,2
2,8.405e-06,3,4
0,5.377e-06,4,8
2,1.8167e-05,5,12
1,3.2056e-05,6,18
1,3.2682e-05,7,24
1,5.3503e-05,8,32
0,3.6904e-05,9,40
0,2.9373e-05,10,50
0,2.9805e-05,11,60
0,4.0516e-05,12,72
0,8.6171e-05,13,84
0,0.000117785,14,98
0,0.000131084,15,112
0,0.000116902,16,128
0,0.000179902,17,144
0,0.000133352,18,162
1,0.000156267,19,180
0,0.000109124,20,200
0,0.000357149,21,220
0,0.000104934,22,242
0,0.000270449,23,264
0,0.00016325,24,288
0,0.000163666,25,312
0,0.000112379,26,338
0,0.00012673,27,364
0,0.0003219,28,392
0,0.000260064,29,420
0,0.000282813,30,450
0,0.00027174,31,480
0,0.000215383,32,512
0,0.000216481,33,544
0,0.000371744,34,578
0,0.000237882,35,612
0,0.000308162,36,648
0,0.000329603,37,684
0,0.00028215,38,722
0,0.000377709,39,760
0,0.000324285,40,800
0,0.000383967,41,840
0,0.000585479,42,882
0,0.000339279,43,924
0,0.00040984,44,968
0,0.000499758,45,1012
0,0.000408606,46,1058
0,0.000492145,47,1104
0,0.000540499,48,1152
0,0.00044629,49,1200
0,0.000500052,50,1250
