tam,tiempo,agentes,votos
1,3.713e-06,1,0
1,3.57e-06,2,2
2,5.826e-06,3,4
1,1.0803e-05,4,8
1,2.1157e-05,5,12
2,2.6603e-05,6,18
0,1.5958e-05,7,24
0,4.1787e-05,8,32
0,3.6281e-05,9,40
1,9.6989e-05,10,50
1,4.9616e-05,11,60
1,5.0618e-05,12,72
1,8.1676e-05,13,84
0,0.000118782,14,98
0,8.6354e-05,15,112
0,0.000105718,16,128
0,0.00010261,17,144
0,0.000115362,18,162
0,0.000154721,19,180
0,0.00014571,20,200
1,0.000241309,21,220
0,0.000126695,22,242
0,0.0002058,23,264
0,0.00017115,24,288
0,0.000145974,25,312
0,0.000313226,26,338
0,0.000249495,27,364
0,0.000298939,28,392
0,0.000246516,29,420
0,0.000231516,30,450
0,0.00031194,31,480
0,0.000358995,32,512
0,0.000274887,33,544
0,0.000335761,34,578
0,0.000385917,35,612
0,0.000412413,36,648
0,0.000414196,37,684
0,0.000314321,38,722
0,0.000449052,39,760
0,0.000368449,40,800
0,0.000359808,41,840
0,0.000388759,42,882
0,0.000409785,43,924
0,0.000527773,44,968
0,0.000450915,45,1012
0,0.000471998,46,1058
0,0.000638752,47,1104
0,0.000708007,48,1152
0,0.000491064,49,1200
0,0.00100388,50,1250
