tam,tiempo,agentes,votos
1,3.406e-06,1,0
1,3.452e-06,2,2
1,6.05e-06,3,4
1,7.631e-06,4,8
0,1.3554e-05,5,12
1,1.5888e-05,6,18
1,1.9469e-05,7,24
1,2.8064e-05,8,32
0,5.6069e-05,9,40
0,4.0456e-05,10,50
1,0.000204627,11,60
1,9.4799e-05,12,72
2,7.8187e-05,13,84
0,0.00010304,14,98
0,0.000123783,15,112
0,8.0816e-05,16,128
0,9.7002e-05,17,144
0,8.9467e-05,18,162
0,0.000128435,19,180
1,0.00020934,20,200
0,0.000156472,21,220
0,0.000124799,22,242
0,0.0001149,23,264
0,0.000158485,24,288
0,0.0001993,25,312
0,0.00021536,26,338
0,0.000197059,27,364
0,0.000216888,28,392
0,0.000223633,29,420
0,0.000305853,30,450
0,0.000434828,31,480
0,0.000188535,32,512
0,0.000304334,33,544
0,0.000289006,34,578
0,0.000312132,35,612
0,0.000245288,36,648
0,0.000333998,37,684
0,0.000411472,38,722
0,0.000377935,39,760
0,0.000517953,40,800
0,0.000313253,41,840
0,0.000329546,42,882
0,0.00069231,43,924
0,0.000354761,44,968
0,0.000462153,45,1012
0,0.000425742,46,1058
0,0.000417017,47,1104
0,0.000460509,48,1152
0,0.00046856,49,1200
0,0.000457292,50,1250
