tam,tiempo,agentes,votos
1,4.909e-06,1,0
1,4.272e-06,2,2
1,5.238e-06,3,4
0,7.836e-06,4,8
2,3.2537e-05,5,12
0,2.7565e-05,6,18
0,3.585e-05,7,24
0,2.7594e-05,8,32
1,3.8772e-05,9,40
0,3.3203e-05,10,50
0,3.1667e-05,11,60
0,5.2745e-05,12,72
1,6.5076e-05,13,84
0,5.9272e-05,14,98
0,0.000205347,15,112
0,0.000149296,16,128
0,6.9498e-05,17,144
1,0.000168547,18,162
0,0.000124955,19,180
0,0.000134718,20,200
0,0.000299121,21,220
0,0.000284496,22,242
0,0.000161858,23,264
0,0.000228467,24,288
0,0.000156591,25,312
0,0.00015777,26,338
0,0.000127399,27,364
0,0.000201264,28,392
0,0.000192947,29,420
0,0.000188107,30,450
0,0.000233082,31,480
0,0.000210408,32,512
0,0.000380424,33,544
0,0.00028515,34,578
0,0.000243635,35,612
0,0.000457278,36,648
0,0.000724774,37,684
0,0.000291088,38,722
0,0.000282999,39,760
0,0.000426296,40,800
0,0.000324561,41,840
0,0.000396445,42,882
0,0.000442905,43,924
0,0.000460953,44,968
0,0.000452392,45,1012
0,0.000468655,46,1058
0,0.0004151,47,1104
0,0.000482711,48,1152
0,0.000456686,49,1200
0,0.0005544,50,1250
