tam,tiempo,agentes,votos
0,7.7033e-05,20,400
0,7.3339e-05,20,399
0,7.3234e-05,20,398
0,7.3203e-05,20,397
0,7.2831e-05,20,396
0,7.304e-05,20,395
0,7.8093e-05,20,394
0,7.2853e-05,20,393
0,7.2997e-05,20,392
0,7.2827e-05,20,391
0,7.2778e-05,20,390
0,7.3254e-05,20,389
0,7.2844e-05,20,388
0,7.2986e-05,20,387
0,7.712e-05,20,386
0,7.2942e-05,20,385
0,7.3061e-05,20,384
0,7.2658e-05,20,383
0,7.2914e-05,20,382
0,7.2953e-05,20,381
0,7.2882e-05,20,380
0,7.2625e-05,20,379
0,7.6693e-05,20,378
0,7.3072e-05,20,377
0,7.2759e-05,20,376
0,7.3166e-05,20,375
0,7.2987e-05,20,374
0,7.316e-05,20,373
0,7.2948e-05,20,372
0,7.264e-05,20,371
0,7.2869e-05,20,370
0,7.2854e-05,20,369
0,7.2822e-05,20,368
0,7.2696e-05,20,367
0,7.2824e-05,20,366
0,7.6537e-05,20,365
0,7.2645e-05,20,364
0,7.2743e-05,20,363
0,7.6977e-05,20,362
0,7.2718e-05,20,361
0,7.2661e-05,20,360
0,7.2606e-05,20,359
0,7.2861e-05,20,358
0,8.3229e-05,20,357
0,7.2785e-05,20,356
0,7.2933e-05,20,355
0,7.6903e-05,20,354
0,7.3088e-05,20,353
0,7.2809e-05,20,352
0,7.2818e-05,20,351
0,7.31e-05,20,350
0,7.2905e-05,20,349
0,7.2695e-05,20,348
0,7.2748e-05,20,347
0,7.2623e-05,20,346
0,7.2941e-05,20,345
0,7.2774e-05,20,344
0,7.2822e-05,20,343
0,7.2836e-05,20,342
0,7.329e-05,20,341
0,7.2724e-05,20,340
0,7.2447e-05,20,339
0,7.7541e-05,20,338
0,7.3004e-05,20,337
0,7.2958e-05,20,336
0,7.2832e-05,20,335
0,7.2633e-05,20,334
0,7.6993e-05,20,333
0,7.6955e-05,20,332
0,7.2894e-05,20,331
0,8.8704e-05,20,330
0,7.2763e-05,20,329
0,8.0781e-05,20,328
0,7.3162e-05,20,327
0,8.1168e-05,20,326
0,7.278e-05,20,325
0,7.2951e-05,20,324
0,7.2876e-05,20,323
0,7.3015e-05,20,322
0,7.2745e-05,20,321
0,8.0794e-05,20,320
0,7.3083e-05,20,319
0,7.2735e-05,20,318
0,7.6959e-05,20,317
0,7.2914e-05,20,316
0,7.3035e-05,20,315
0,7.2674e-05,20,314
0,7.2998e-05,20,313
0,7.7191e-05,20,312
0,7.706e-05,20,311
0,7.2943e-05,20,310
0,7.2734e-05,20,309
0,7.2787e-05,20,308
0,7.2786e-05,20,307
0,7.6836e-05,20,306
0,7.7058e-05,20,305
0,7.6899e-05,20,304
0,7.3029e-05,20,303
0,9.2658e-05,20,302
0,7.2954e-05,20,301
0,7.6729e-05,20,300
0,7.3009e-05,20,299
0,7.6894e-05,20,298
0,7.706e-05,20,297
0,7.258e-05,20,296
0,7.2923e-05,20,295
0,8.5246e-05,20,294
0,7.6805e-05,20,293
0,7.6737e-05,20,292
0,7.3095e-05,20,291
0,7.7011e-05,20,290
0,8.5209e-05,20,289
0,7.3003e-05,20,288
0,7.6769e-05,20,287
0,7.3005e-05,20,286
0,8.1865e-05,20,285
0,8.0296e-05,20,284
0,8.0961e-05,20,283
0,7.2736e-05,20,282
0,9.6447e-05,20,281
0,7.6937e-05,20,280
0,7.7123e-05,20,279
0,9.9939e-05,20,278
0,7.6631e-05,20,277
0,0.000100112,20,276
0,7.3033e-05,20,275
0,7.3223e-05,20,274
0,9.1745e-05,20,273
0,7.2825e-05,20,272
0,7.681e-05,20,271
0,0.00013564,20,270
0,7.7731e-05,20,269
0,8.1347e-05,20,268
0,8.1221e-05,20,267
0,7.2754e-05,20,266
0,7.3398e-05,20,265
0,0.000104054,20,264
0,8.5298e-05,20,263
0,0.000129735,20,262
0,9.2369e-05,20,261
0,7.7153e-05,20,260
0,0.000101207,20,259
0,8.1613e-05,20,258
0,7.7028e-05,20,257
0,9.9695e-05,20,256
0,8.949e-05,20,255
0,0.00010376,20,254
0,8.0942e-05,20,253
0,7.2924e-05,20,252
0,7.7044e-05,20,251
0,7.7221e-05,20,250
0,7.6853e-05,20,249
0,8.1009e-05,20,248
0,0.000103537,20,247
0,7.2895e-05,20,246
0,9.293e-05,20,245
0,8.099e-05,20,244
0,8.5219e-05,20,243
0,8.85e-05,20,242
0,0.000100211,20,241
0,0.00011633,20,240
0,8.0935e-05,20,239
0,0.00010107,20,238
0,0.000112881,20,237
0,7.7125e-05,20,236
0,7.7128e-05,20,235
0,7.7317e-05,20,234
0,0.000107586,20,233
0,0.000135703,20,232
0,8.0969e-05,20,231
0,9.1918e-05,20,230
0,8.5099e-05,20,229
0,0.000116052,20,228
0,9.7824e-05,20,227
0,8.1118e-05,20,226
0,9.2691e-05,20,225
0,8.5106e-05,20,224
0,0.000105418,20,223
0,7.6947e-05,20,222
0,0.000100751,20,221
0,0.00012009,20,220
0,8.1147e-05,20,219
0,9.6904e-05,20,218
0,0.000142524,20,217
0,0.000139508,20,216
0,0.000121062,20,215
1,8.5992e-05,20,214
0,8.8915e-05,20,213
0,8.5018e-05,20,212
0,0.000150777,20,211
0,9.3441e-05,20,210
0,0.000127917,20,209
0,0.000173906,20,208
0,0.000131931,20,207
0,0.000130946,20,206
0,0.000100865,20,205
0,0.000100805,20,204
0,0.000175575,20,203
0,0.000134365,20,202
0,0.000107672,20,201
0,0.000135428,20,200
0,0.000108951,20,199
0,0.000136716,20,198
0,0.000133204,20,197
0,0.000105563,20,196
0,9.6105e-05,20,195
0,0.000113485,20,194
0,0.000135283,20,193
0,8.5014e-05,20,192
0,0.000108772,20,191
0,0.000119353,20,190
0,8.5356e-05,20,189
0,0.000136777,20,188
0,0.000117804,20,187
0,0.000228025,20,186
1,0.000160079,20,185
0,0.000145136,20,184
