tam,tiempo,agentes,votos
1,3.791e-06,1,0
1,3.846e-06,2,2
2,8.364e-06,3,4
1,1.5649e-05,4,8
1,2.3038e-05,5,12
2,3.4274e-05,6,18
0,2.1674e-05,7,24
0,4.7986e-05,8,32
0,3.9059e-05,9,40
1,9.0179e-05,10,50
1,5.4063e-05,11,60
1,6.5778e-05,12,72
1,7.9053e-05,13,84
0,9.0334e-05,14,98
0,5.9417e-05,15,112
0,0.000106463,16,128
0,0.000107724,17,144
0,0.000112099,18,162
0,0.000119609,19,180
0,0.000117075,20,200
1,0.000190013,21,220
0,9.1468e-05,22,242
0,0.000170087,23,264
0,0.000147859,24,288
0,0.000149837,25,312
0,0.000249801,26,338
0,0.000221273,27,364
0,0.000251065,28,392
0,0.000214848,29,420
0,0.000218357,30,450
0,0.000229772,31,480
0,0.000227507,32,512
0,0.000239839,33,544
0,0.000243819,34,578
0,0.000369344,35,612
0,0.000317854,36,648
0,0.000398447,37,684
0,0.000278283,38,722
0,0.000302329,39,760
0,0.000307597,40,800
0,0.000381559,41,840
0,0.000340336,42,882
0,0.000367498,43,924
0,0.000391187,44,968
0,0.000379404,45,1012
0,0.000400822,46,1058
0,0.000458602,47,1104
0,0.000476089,48,1152
0,0.00046858,49,1200
0,0.000514644,50,1250
