tam,tiempo,agentes,votos
1,3.942e-06,1,0
1,4.413e-06,2,2
1,8.137e-06,3,4
1,9.702e-06,4,8
0,1.8238e-05,5,12
1,2.1166e-05,6,18
1,2.714e-05,7,24
1,2.8107e-05,8,32
0,6.3498e-05,9,40
0,2.9905e-05,10,50
1,0.000195784,11,60
1,7.3965e-05,12,72
2,9.3427e-05,13,84
0,7.0789e-05,14,98
0,7.7665e-05,15,112
0,8.459e-05,16,128
0,7.8395e-05,17,144
0,8.1983e-05,18,162
0,0.000134939,19,180
1,0.000130169,20,200
0,0.000105429,21,220
0,0.00012606,22,242
0,0.000109039,23,264
0,0.000118055,24,288
0,0.000178939,25,312
0,0.000194895,26,338
0,0.000181165,27,364
0,0.000202812,28,392
0,0.000235495,29,420
0,0.000292981,30,450
0,0.000363937,31,480
0,0.000201292,32,512
0,0.000252825,33,544
0,0.000241857,34,578
0,0.000320245,35,612
0,0.00026377,36,648
0,0.000270191,37,684
0,0.000307363,38,722
0,0.00030913,39,760
0,0.000370847,40,800
0,0.000329294,41,840
0,0.000348874,42,882
0,0.00040034,43,924
0,0.000373879,44,968
0,0.00041941,45,1012
0,0.000405926,46,1058
0,0.000439059,47,1104
0,0.00045517,48,1152
0,0.000493966,49,1200
0,0.000478652,50,1250
