tam,tiempo,agentes,votos
1,4.564e-06,1,0
0,2.231e-06,2,2
0,5.282e-06,3,4
2,8.992e-06,4,8
1,1.1363e-05,5,12
0,1.7135e-05,6,18
2,4.7949e-05,7,24
1,4.5022e-05,8,32
1,4.7961e-05,9,40
1,6.8429e-05,10,50
1,3.7499e-05,11,60
0,5.1756e-05,12,72
1,8.2429e-05,13,84
0,8.207e-05,14,98
0,9.5339e-05,15,112
0,7.1991e-05,16,128
1,0.000116488,17,144
0,7.9165e-05,18,162
0,9.4279e-05,19,180
0,8.5763e-05,20,200
0,0.000154145,21,220
0,0.000105125,22,242
0,0.000145528,23,264
0,0.000140419,24,288
0,0.000186573,25,312
0,0.000130695,26,338
0,0.000222092,27,364
0,0.00023022,28,392
0,0.000232944,29,420
0,0.000177042,30,450
0,0.000192858,31,480
0,0.000198047,32,512
0,0.000208323,33,544
0,0.000216369,34,578
0,0.000245116,35,612
0,0.000258578,36,648
0,0.000276091,37,684
0,0.000277782,38,722
0,0.000294916,39,760
0,0.000421306,40,800
0,0.000314338,41,840
0,0.000339005,42,882
0,0.000392555,43,924
0,0.000440818,44,968
0,0.00037277,45,1012
0,0.000416034,46,1058
0,0.000409091,47,1104
0,0.000445297,48,1152
0,0.000696595,49,1200
0,0.000457919,50,1250
