tam,tiempo,agentes,votos
1,5.515e-06,1,0
1,3.896e-06,2,2
0,3.254e-06,3,4
3,9.878e-06,4,8
1,1.2352e-05,5,12
1,2.4817e-05,6,18
0,1.9869e-05,7,24
0,3.6873e-05,8,32
1,6.1649e-05,9,40
1,5.3233e-05,10,50
0,3.4641e-05,11,60
0,5.7311e-05,12,72
0,8.079e-05,13,84
0,4.9121e-05,14,98
0,7.4835e-05,15,112
1,9.4334e-05,16,128
0,0.000124924,17,144
0,0.00010258,18,162
0,7.7733e-05,19,180
0,9.2853e-05,20,200
0,0.00015675,21,220
0,0.00017194,22,242
0,0.000139351,23,264
0,0.000247094,24,288
0,0.000162653,25,312
0,0.000132841,26,338
0,0.000132914,27,364
0,0.00019123,28,392
0,0.000150742,29,420
0,0.000191025,30,450
0,0.000191177,31,480
0,0.000202247,32,512
0,0.000352594,33,544
0,0.000280408,34,578
0,0.000236004,35,612
0,0.000240086,36,648
0,0.000311856,37,684
0,0.000386276,38,722
0,0.000306512,39,760
0,0.000313013,40,800
0,0.000345325,41,840
0,0.00050155,42,882
0,0.000381517,43,924
0,0.000379805,44,968
0,0.000410398,45,1012
0,0.000383028,46,1058
0,0.000424465,47,1104
0,0.000518261,48,1152
0,0.000455854,49,1200
0,0.000463042,50,1250
