tam,tiempo,agentes,votos
1,3.863e-06,1,0
2,4.354e-06,2,2
0,4.172e-06,3,4
2,8.855e-06,4,8
0,2.1136e-05,5,12
2,1.9037e-05,6,18
0,2.6095e-05,7,24
0,2.4495e-05,8,32
1,3.6142e-05,9,40
0,3.32e-05,10,50
0,0.000105815,11,60
0,5.1807e-05,12,72
1,5.5096e-05,13,84
0,6.3754e-05,14,98
0,7.9657e-05,15,112
0,8.5161e-05,16,128
0,0.000130737,17,144
0,0.000102519,18,162
0,0.00012234,19,180
0,8.5281e-05,20,200
0,0.000127343,21,220
0,0.000244013,22,242
0,0.000147081,23,264
0,0.000138006,24,288
0,0.000187558,25,312
0,0.000208223,26,338
0,0.000149425,27,364
0,0.000162339,28,392
0,0.000253196,29,420
0,0.000178115,30,450
0,0.000224243,31,480
0,0.0002416,32,512
0,0.000207781,33,544
0,0.000216724,34,578
0,0.000251602,35,612
0,0.000354094,36,648
0,0.000284933,37,684
0,0.000317595,38,722
0,0.000352747,39,760
0,0.000362025,40,800
0,0.000350954,41,840
0,0.000373578,42,882
0,0.000388577,43,924
0,0.000494412,44,968
0,0.000380367,45,1012
0,0.000415522,46,1058
0,0.000457905,47,1104
0,0.000457667,48,1152
0,0.000467471,49,1200
0,0.00049107,50,1250
