tam,tiempo,agentes,votos
1,3.916e-06,1,0
0,2.172e-06,2,2
0,4.992e-06,3,4
2,8.492e-06,4,8
1,1.0841e-05,5,12
0,1.617e-05,6,18
2,4.5456e-05,7,24
1,4.2965e-05,8,32
1,4.5666e-05,9,40
1,6.544e-05,10,50
1,3.584e-05,11,60
0,4.946e-05,12,72
1,7.8499e-05,13,84
0,9.3898e-05,14,98
0,0.000145996,15,112
0,7.8414e-05,16,128
1,0.000136014,17,144
0,9.7434e-05,18,162
0,0.000132021,19,180
0,0.000115183,20,200
0,0.000179238,21,220
0,0.000136759,22,242
0,0.000139167,23,264
0,0.0001341,24,288
0,0.000216603,25,312
0,0.000124442,26,338
0,0.00020197,27,364
0,0.000195035,28,392
0,0.000233354,29,420
0,0.000176912,30,450
0,0.000192173,31,480
0,0.000208875,32,512
0,0.000207833,33,544
0,0.000218241,34,578
0,0.000243914,35,612
0,0.000243252,36,648
0,0.000256994,37,684
0,0.000277666,38,722
0,0.000294477,39,760
0,0.000420351,40,800
0,0.000348939,41,840
0,0.000338771,42,882
0,0.000367787,43,924
0,0.000440002,44,968
0,0.000371058,45,1012
0,0.000414909,46,1058
0,0.000407456,47,1104
0,0.000444892,48,1152
0,0.000661771,49,1200
0,0.000479924,50,1250
