tam,tiempo,agentes,votos
1,3.993e-06,1,0
1,3.616e-06,2,2
1,5.702e-06,3,4
1,7.505e-06,4,8
0,1.8126e-05,5,12
1,1.85e-05,6,18
1,2.7254e-05,7,24
1,2.4167e-05,8,32
0,6.3453e-05,9,40
0,2.9971e-05,10,50
1,0.000198096,11,60
1,6.8867e-05,12,72
2,8.0736e-05,13,84
0,7.0647e-05,14,98
0,7.7305e-05,15,112
0,8.464e-05,16,128
0,7.7993e-05,17,144
0,8.1907e-05,18,162
0,0.000134644,19,180
1,0.000127062,20,200
0,0.000145826,21,220
0,0.000126543,22,242
0,0.000109552,23,264
0,0.000117845,24,288
0,0.000178457,25,312
0,0.000194905,26,338
0,0.000178947,27,364
0,0.000202278,28,392
0,0.000235339,29,420
0,0.000292749,30,450
0,0.000340318,31,480
0,0.000201179,32,512
0,0.000254464,33,544
0,0.000241194,34,578
0,0.000324359,35,612
0,0.000262542,36,648
0,0.000269843,37,684
0,0.000307241,38,722
0,0.000309397,39,760
0,0.000370412,40,800
0,0.000329302,41,840
0,0.000344622,42,882
0,0.00039601,43,924
0,0.000373123,44,968
0,0.000418771,45,1012
0,0.00040529,46,1058
0,0.000444513,47,1104
0,0.000455903,48,1152
0,0.000494286,49,1200
0,0.00047936,50,1250
