tam,tiempo,agentes,votos
1,3.863e-06,1,0
1,3.547e-06,2,2
1,5.739e-06,3,4
1,7.611e-06,4,8
0,1.8112e-05,5,12
1,1.8426e-05,6,18
1,2.7308e-05,7,24
1,2.3958e-05,8,32
0,6.3501e-05,9,40
0,2.9995e-05,10,50
1,0.000192856,11,60
1,6.8356e-05,12,72
2,8.085e-05,13,84
0,7.0661e-05,14,98
0,7.738e-05,15,112
0,8.4342e-05,16,128
0,7.8155e-05,17,144
0,8.6945e-05,18,162
0,0.000134862,19,180
1,0.00012758,20,200
0,0.000105375,21,220
0,0.000125916,22,242
0,0.00010943,23,264
0,0.000116984,24,288
0,0.000178464,25,312
0,0.000193836,26,338
0,0.000177643,27,364
0,0.000202158,28,392
0,0.000235518,29,420
0,0.000293391,30,450
0,0.000342135,31,480
0,0.000200849,32,512
0,0.00025266,33,544
0,0.000240905,34,578
0,0.000320592,35,612
0,0.000262858,36,648
0,0.00027156,37,684
0,0.000307584,38,722
0,0.000308889,39,760
0,0.000371221,40,800
0,0.000331125,41,840
0,0.000346235,42,882
0,0.000396774,43,924
0,0.00037322,44,968
0,0.000419694,45,1012
0,0.000406355,46,1058
0,0.000439372,47,1104
0,0.000458316,48,1152
0,0.000494795,49,1200
0,0.000479645,50,1250
