tam,tiempo,agentes,votos
1,5.873e-06,1,0
1,4.828e-06,2,2
1,7.117e-06,3,4
1,6.637e-06,4,8
2,2.9214e-05,5,12
1,1.5814e-05,6,18
1,2.893e-05,7,24
1,3.1632e-05,8,32
0,2.7594e-05,9,40
2,5.9223e-05,10,50
0,4.8057e-05,11,60
0,0.000130357,12,72
0,6.0759e-05,13,84
1,6.4071e-05,14,98
0,0.000136804,15,112
0,9.7207e-05,16,128
0,8.7808e-05,17,144
0,0.000120915,18,162
0,8.5865e-05,19,180
0,0.00010035,20,200
0,0.000131257,21,220
0,0.000124227,22,242
0,0.000109048,23,264
0,0.000153044,24,288
0,0.000157722,25,312
0,0.000178774,26,338
0,0.000144738,27,364
0,0.000160334,28,392
0,0.000151985,29,420
0,0.000187469,30,450
0,0.000187018,31,480
0,0.000264633,32,512
0,0.000223137,33,544
0,0.000239819,34,578
0,0.000247377,35,612
0,0.000268411,36,648
0,0.000283305,37,684
0,0.000296397,38,722
0,0.000360563,39,760
0,0.000313634,40,800
0,0.000351619,41,840
0,0.000359282,42,882
0,0.000362025,43,924
0,0.000406478,44,968
0,0.000393182,45,1012
0,0.000438437,46,1058
0,0.000441629,47,1104
0,0.000506233,48,1152
0,0.000577972,49,1200
0,0.000452318,50,1250
