tam,tiempo,agentes,votos
1,3.671e-06,1,0
1,3.415e-06,2,2
1,5.357e-06,3,4
1,7.311e-06,4,8
0,1.7192e-05,5,12
1,1.7604e-05,6,18
1,2.5976e-05,7,24
1,2.2938e-05,8,32
0,9.2052e-05,9,40
0,2.8318e-05,10,50
1,0.000184173,11,60
1,6.532e-05,12,72
2,7.7244e-05,13,84
0,6.728e-05,14,98
0,7.3896e-05,15,112
0,8.0523e-05,16,128
0,7.4413e-05,17,144
0,7.8347e-05,18,162
0,0.000128878,19,180
1,0.000120999,20,200
0,0.000100216,21,220
0,0.000120132,22,242
0,0.000103907,23,264
0,0.000112152,24,288
0,0.00017016,25,312
0,0.000185284,26,338
0,0.000170089,27,364
0,0.000192507,28,392
0,0.000223572,29,420
0,0.000278357,30,450
0,0.000324441,31,480
0,0.000190938,32,512
0,0.000240235,33,544
0,0.000229786,34,578
0,0.000337175,35,612
0,0.00025033,36,648
0,0.000257482,37,684
0,0.000292901,38,722
0,0.000294473,39,760
0,0.000353576,40,800
0,0.000313306,41,840
0,0.000329617,42,882
0,0.000379067,43,924
0,0.000355246,44,968
0,0.000398982,45,1012
0,0.000385884,46,1058
0,0.000451033,47,1104
0,0.000433721,48,1152
0,0.000470965,49,1200
0,0.000456517,50,1250
